,gacc,state,group,site,date,fuel,percent
44437,EGBC,UT,Salt Lake Field Office,Vernon,1/6/2020,"Juniper, Utah",71
143228,RMCC,WY,Wyoming High Desert District,Lower Sage,1/13/2020,"Juniper, Rocky Mountain",82
